uid	pfam
A0A2P7Z5X0	PF01565,PF08031
A7HTX6	PF01565,PF04030
A0A0N1ND03	PF01070
A0A0W0VW94	PF01070
H9NJ43	PF01266,PF05199
A0A173L2A5	PF05199
Q46IL6	PF01070
A0A1U7CQ63	PF01266
Q92NB8	PF01070
A0A1V5WCW7	PF01266,PF04324
H6AGY0	PF00732,PF05199
A0A140L8U4	PF01266,PF04324
A0A2I1DHE3	PF00732,PF05199
A0A1D8G9V1	PF00732,PF05199
A0A2X4TVV8	PF05199
C3JT83	PF05199
A0A1Y2NLL4	PF00732,PF05199
Q0RQC7	PF07691,PF09118
A0A0K0TUB1	PF01266
I4EZV3	PF01070
A5DJL6	PF00732,PF05199
A0A1J3EEM9	PF00732,PF05199
F0UXP4	PF00754
C0NEB8	PF00732,PF05199
A0A2X1LSR9	PF01266,PF04324
A0A080M6P8	PF01266
A0A1Y5P121	PF01565,PF04030
W6K7A3	PF01565
R0ILD0	PF00732,PF05199
A0A0P0R820	PF01565,PF02913
A0A0P7B8L8	PF00732,PF05199
A0A1Y2VH50	PF00732,PF05199
A0A2P9EVZ7	PF01565,PF04030
A0A177VCI1	PF00732,PF05199
I7HM50	PF01070
U3TSG9	PF16901
A0A0G9FC07	PF01070
A0A2G3AG36	PF00732,PF05199
F0TBY7	PF00301,PF01070
A0A2K9JT18	PF01266
A0A2J6K5F0	PF00732,PF05199
A0A2T3BCB7	PF00732,PF05199
C5II13	PF05199
A1WAZ5	PF01070
P13006	PF00732,PF05199
A0A1Q9N478	PF00732
A0A1V6HVB3	PF01266
A0A0J0XS65	PF00732,PF05199
G7M0E1	PF01070
A0A142I707	PF00732,PF05199
A0A178X050	PF00732,PF05199
A7LGL0	PF00732,PF05199
A0A1Y2MT94	PF00732,PF05199
A0A0F4YIA3	PF01565,PF02913
A0A1D8G565	PF00732,PF05199
A0A0F4YPS7	PF00732,PF05199
A0A1V5VKA3	PF01266
A0A2K1JIQ0	PF00732,PF05199
O49506	PF01070
A0A1C3JI92	PF01266
A0A1E7W193	PF01266
A0A0K3B8Q2	PF01168
A0A086TEV1	PF00732,PF05199
P10867	PF01565,PF04030
A0A011R8E6	PF01266
A0A1L9X027	PF00732,PF05199
A0A0F4Z475	PF01070
B8LTH8	PF00732,PF05199
A5LGE5	PF00732
G0AHZ2	PF02754,PF12838
A0A100JW25	PF01266,PF04324
A0A287F8P0	PF00732,PF05199
Q16CG8	PF01565,PF02913
S6BD85	PF01565,PF02913
A0A2G9GAE5	PF07250,PF09118
A9D099	PF01565,PF02913
F7S1R7	PF01565,PF04030
D3PDY4	PF02754,PF13183
A0A087EIS6	PF01070
A0A0W0Y0Z9	PF01070
A0A1C5QUE5	PF01266,PF04324
I1IBP7	PF00732,PF05199
A0A1K0G288	PF00732,PF05199
A0A2P4UJW1	PF00732,PF05199
L7IZ92	PF00732,PF05199
A0A1H8P321	PF01266
A0A1X6Y548	PF01565
I1N9S7	PF00732,PF05199
A0A1S7M775	PF01565,PF02913
A0A089QAB6	PF00754,PF01344,PF09118
A0A084FZ29	PF00732,PF05199
S0EYS9	PF01565,PF02913
A0A1M8A7C1	PF00732,PF05199
A0A2P7ZIS9	PF00732,PF05199
A0A1U8QKH4	PF00732,PF05199
Q2I2N2	PF00732,PF05199
A0A0K3B0A9	PF00732,PF05199
A0A0D2E851	PF00732,PF05199
A0A1V6AQ50	PF01266,PF04324
A0A0H3KCE3	PF02754,PF13183
A0A0J6VD48	PF00890
A0A2H3EJR7	PF00732,PF05199
A0A0W0YVK2	PF01266
A0A2X2UMG1	PF01266,PF04324
A0A0W0T9X1	PF01070
Q9HFQ1	PF00732,PF05199
Q9ZBU1	PF01565,PF04030
H9NJ52	PF05199
A0A0T9P8T8	PF05199
A0A2S6TT10	PF01266
C2CKS7	PF01565
A0A0T9WLB5	PF05199
U2E225	PF09118
A8DPS4	PF00732,PF05199
A0A1S8MYT6	PF01266,PF04324
A0A0F0KK17	PF00732,PF05199
A0A2X0V6P8	PF01266,PF04324
A0A0E0UR77	PF01565,PF07100
A0A2P5RE22	PF00732,PF05199
A0A1R3J4F1	PF00732,PF05199
A0A2G2V4Z6	PF00732,PF05199
B9SZT2	PF01565,PF04030
A0A2X3JBL9	PF01266
A0A0J6W3A3	PF01266,PF04324
F9VPD1	PF01565
A0A1D8C4M1	PF01565,PF02913
J3KAC9	PF00282,PF00732,PF05199
A0A168NML8	PF01266
A0A2T7C5T1	PF00732,PF05199
A0A1P8WJE7	PF01266
A0A225ANC2	PF00732,PF05199
A0A2P5VKQ3	PF01266
A0A0H5NL79	PF00732
A0A2N6NRU2	PF00732,PF05199
G6CCJ7	PF01070
A0A011MGF2	PF01266
A0A0F7IHH0	PF01565,PF02913
A0A1C5VZM4	PF01266,PF04324
A5LGE3	PF00732
A0A1C5Z054	PF01266,PF04324
A0A0M2HQX0	PF01266
A0A0D6UVV4	PF00732,PF05199
C7HSG4	PF01565,PF02913
A0A2G9HYB4	PF07250,PF09118
A0A398AKK3	PF00732,PF05199
Q7SID9	PF01565,PF09129
A0A225E6C6	PF01266
A0A1P8YP93	
A0A2X0TTB3	PF01565,PF04030
A0A094AKJ4	PF00732,PF05199
M7N2I5	PF05199
A0A317WU75	PF00732,PF05199
A0A179FXV8	PF00732,PF05199
A0A150FP39	PF01070
A0A011PRP2	PF00732,PF05199
A0A2N7R5S7	PF00732,PF05199
A0A0F7M2L3	PF00890,PF05199
Q1GS14	PF01070
A0A0U1ATK8	PF05199,PF09995
O52791	PF00903
P54783	PF01565,PF04030
V5BD74	PF01266
A2R134	PF00732,PF05199
Q7U9U2	PF01565
C9Y718	PF01565,PF02913
D2AYD8	PF05199
A0A2X5BIM3	PF01266
A0A2S9YEI6	PF05199
Q6L2S1	PF01565,PF02913
F6ETN5	PF01070
V4S9D3	PF00732,PF05199
O86963	PF01266,PF16901
A0A0V1Q3F1	PF00732,PF05199
A0A1Y5TD26	PF01266
A0A0W0UHE4	PF01070
E6PBN9	PF00754,PF01344,PF09118
A0A2S6U3S0	PF01070
A0A2X4UW84	PF01266,PF04324
F0XC64	PF00732,PF05199
Q0BPS4	PF01565
A0A0F8B231	PF00732
A0A1C5LYA0	PF01266,PF04324
A0A173ZMW0	PF01266,PF04324
A0A1A7T4K6	PF01266,PF04324
A0A0M9VTB5	PF00732,PF05199
A5LGF3	PF00732
W9RET7	PF00732,PF05199
F4BL96	PF01266,PF16901
A0A1D2IJW2	PF01565,PF04030
A0A2S6TSF2	PF01070
Q56DL0	PF00732,PF05199
A0A072ULU1	PF00732,PF05199
A0A2S6QD34	PF00732,PF05199
A0A0B7KH86	PF00732,PF05199
A0A0T8UK75	PF16901
A0A1X6WZA2	PF01168
A0A098G1S3	PF01565
A0A2T3B6V2	PF00732,PF05199
A0A161Y585	PF01266,PF04324
A0A0D6SSY4	PF01168
A9W206	PF09118
A0A0K2YAM2	PF00732,PF05199
A0A2X3L3Z9	PF05199
K1KWG0	PF01266
A0A1J7GX64	PF00732,PF05199
A0A2P2QVL4	PF00732,PF05199
A0A1R4IST5	PF01168
A0A166CQB0	PF01266
C1GH16	PF00732,PF05199
A0A2K8WQE3	PF01565,PF02913
A0A1Y2W9U0	PF00732,PF05199
A0A2X0PVG8	PF01266,PF16901
M1E5R9	PF01070
A0A0G4JCR8	PF05199
Q9LW56	PF00732,PF05199
A0A109UKV5	PF01266
A0A1L7F8E5	PF01070
A0A1B8P6F8	PF01266
A0A1Y5TC79	PF01266
A0A1Q8S1L9	PF00732,PF05199,PF07992
A0A2X4UI48	PF00732,PF05199
A0A1R4GGY4	
A0A1B8P6N4	PF01266
P0DB21	PF01266,PF16901
A0A2H1I2Q1	PF00732,PF05199
A0A0T9NT27	PF01565,PF04030
W8YSA3	PF01565,PF04030
S0FZZ2	PF02754,PF13183
L8MM98	PF01266
A0A0U5PE87	PF01266,PF04324
M5IPU5	PF01565,PF02913
A0A238LGV8	PF00732,PF05199
E6PBN7	PF00754,PF01344,PF09118
A0A1C5L9Z0	PF01266,PF04324
A0A2X3AWQ6	PF01565,PF02913
W9RIK0	PF00732,PF05199
A0A0T8PMX6	PF01266,PF16901
A0A2J6JUI0	PF00732,PF05199
G2R8H9	PF00732,PF05199
A0A0U1AV60	PF01565,PF04030
A0A2T7F965	PF00732,PF05199
C1AXU8	PF00732,PF05199
D6U6R2	PF01565,PF04030
A0A2P6QUY2	PF07250,PF09118
X7YI55	
A0A2C9UTE0	PF00732,PF05199
A0A221K1I8	PF01565
A0A0B6RIG6	PF02754,PF13183
A0A099KQX3	PF09118
A0A0N9XAQ2	PF01168
A0A0T9K3Z6	PF01565,PF04030
A0A256F9H8	PF00732,PF05199
A0A075UV28	PF00732,PF05199
A0A1Y2VRH8	PF00732,PF00890,PF05199
A0A1W2TGB2	PF01565
X0JDU5	PF00732,PF05199
I7FDJ2	PF00732,PF05199
X8B5I2	PF01070
A0A2X4TQH7	PF00732,PF05199
A0A291QI69	PF01070
A0A1C5YAH9	PF01266,PF04324
A0A2X0VMM3	PF00890,PF05199
K4R4L9	PF00732,PF05199
Q0K749	PF02754,PF12838
D3Q5Y2	PF01565,PF04030
U4QBW0	PF02913
A0A021XIZ9	PF01266
M5CH40	PF00732,PF05199
S0FGL6	PF01565,PF02913
A0A024GXF2	PF01266
I3X1H0	PF01266
A0A2P9I5N5	PF01565,PF04030
A0A1Q8YG26	PF02754,PF12838
A0A2X3ESN2	PF05199
G4CK16	PF01565,PF02754,PF02913,PF11880,PF12447,PF13183
C9YF25	PF01565,PF02913
A0A1L9VVH4	PF00732,PF05199
A0A2K8R081	PF00732,PF05199
A0A1X2GL01	PF00732,PF05199
A0A0B6RP43	PF01565
O93852	PF01565,PF04030
Q5NT46	PF00732,PF05199
A0A0U1M8E0	PF00732,PF05199
A0A2S3U6G6	PF01070
A0A2X3B7Y8	PF01565,PF04030
A0A1L9NBE7	PF00732,PF05199
A0A0R0HV52	PF00732,PF05199
F4BR76	PF01070
A0A1P8B6G2	PF00732,PF05199
A0A0S4K4A8	PF00732,PF05199
A0A2K8DNH1	PF01070
K4CUT7	PF00732,PF05199
I0LBW6	PF00732,PF05199
A6APT8	PF05199
B2IUG1	PF09118
A0A0K2XV68	
C4VMW0	PF01070
A0A0D8BAE7	PF01565,PF02913
A0A2H1ISP2	PF01565,PF02913
A0A011QK89	PF01266
A0A178WR50	PF01565,PF04030
H8X645	PF00732,PF05199
Q6CSY3	PF01565,PF04030
A0A2X3B4W9	PF01565,PF02913
A0A1S3BHB1	PF00732,PF05199
S2JYP5	PF00732,PF05199
A0A0T8XJ31	PF01565,PF04030
Q8Z0C8	PF01070
W2S2S5	PF00732,PF05199
A0A0N1GNK6	PF00732,PF05199
A0A1Y5PJ17	PF05199
B9S0Y9	PF01070
A0A1J5Q5K8	PF00732,PF00890,PF05199
A0A1V6BAP2	PF01266
A0A1B1KBM9	PF00732,PF05199
A5CXB1	PF02754,PF12838
F9ZK57	PF09118
C8X9C2	PF01070
A0A177HQ74	PF00732,PF05199
A0A1S6HMZ2	PF02754
A0A251U6X8	PF00732,PF05199
B9RKL6	PF07250,PF09118
A0A174M3S1	PF01266,PF04324
A0A2K8L4N0	PF01565,PF02913
A0A1N4NLY8	PF01565
A0A1Y0N327	PF01266
A0A1Q2ZFM1	PF01266
A0A2X3B7U6	PF01266,PF04324
A0A0K9RCH7	PF00732,PF05199
X5JEC9	PF01070
A0A0W0YNV0	PF00732,PF05199
A2QZ31	PF00732,PF05199
A0A173KZX5	PF01565,PF02913
K0NUR1	PF01070
A0A2N3NKF2	PF00732,PF05199
A0A0L0HPF7	PF00732,PF05199
M1ZF78	PF01266,PF16901
A0A1D2IB36	PF00732,PF05199
A9IQM8	PF02754,PF13183
A0A0K1DZV3	PF01565,PF02913
K3YQ38	PF00732,PF05199
A0A221UY44	PF00465
G8S1L6	PF00652,PF09118
A0A178XFQ5	PF00732
A0A1B1N8V2	PF01565,PF04030
A0A0F8CXS8	PF00732,PF05199
A0A1E3A8G4	PF01266,PF04324
A0A2P6Q009	PF07250,PF09118
A0A157WRT5	PF01266,PF04324
A0A2T0FEK3	PF00732,PF05199
A0A2P9F2E1	PF01266,PF01932
Q93H76	PF00732,PF05199
A0A0B6WZJ3	PF01565,PF02913
A1UBM5	PF01070
A0A222TK96	PF01266
A0A0W1NM66	PF00732,PF05199
A0A1V5KSH7	PF01266
V7AI35	PF00732,PF05199
I7K0M2	PF01070
A0A072PAH9	PF00732,PF05199
W0Z805	PF01565,PF04030
T0Y8W4	PF01565
A0A2X5ASA1	PF01266
G8SEQ2	PF09118
G4V4S8	PF01070
I9W4Q1	PF00732,PF05199
A0A0B8NPN9	PF01565,PF04030
B7PA56	PF01070
A0A1V2RCW0	PF01565,PF04030
A0A2K8KTC1	PF01565,PF02913
A0A2X0PPF6	PF00732,PF05199
A0A1A7KLQ0	PF00732,PF05199
A0A1C6ACJ4	PF01266,PF04324
A0A222TH02	PF00732,PF00890,PF05199
A0A1V5J5R0	PF00732,PF05199
M9TNS6	PF01168
A2QBA3	PF01070
A0A2P1M9I8	PF01070
A0A2G9GFJ3	PF01070
A0A0N7HBH8	PF01266
S7SUG9	PF02754,PF13183
B9ST69	PF01070
A0A2X4UXU4	PF00732,PF05199
A5LGF0	PF00732
G0ES38	PF01266
A0A2I4FRI3	PF00732,PF05199
A0A1Y2MNU9	PF00732,PF05199
A0A166QFT9	PF05199
V5Z9C3	PF01565,PF04030
G4CKD2	PF01565
U6EB70	PF00301,PF01070
M9TZM2	PF01266
A0A2S6UT86	PF01266
S0G7W3	PF01565,PF02913
B9NTK5	PF02754,PF12838
A0A1K2FUM9	PF00732,PF05199
A0A2X3GFW0	PF01266
A0A2U1PD32	PF00732,PF05199
D7FMI7	PF01070
A9QH71	PF01070
P22637	PF00732,PF05199
A0A160VBE0	PF01266
A0A1Y0NG42	PF00732,PF05199
G8Y5E1	PF00732,PF05199
L0R6N4	PF01266,PF16901
A0A1V5DYM8	PF01266
A0A1I9Z7H0	PF09118
A0A022Y6A6	PF00732,PF05199
A6QXN4	PF00732,PF00890,PF05199
A0A072P3D3	PF01565,PF02913
A0A1C5YPI8	PF01266,PF04324
A0A1V5VYJ8	PF01266
U4PUB6	PF01565
A0A1U7LV20	PF00732,PF05199
E5AM75	PF01565
A2A017	PF01565,PF04030
A0A2V1CMP8	PF00732,PF05199
H6L109	PF01565,PF02913
A0A1U6GIW4	PF00732,PF05199
A0A174SVD5	PF01266,PF04324
A0A366P0G0	PF00732,PF05199
A0A2X1ASK1	PF02754,PF13183
A0A2X1CFX3	PF01266
A0A0F8BVY7	PF01565,PF01794,PF08022,PF08030
A0A2S9XRW6	PF01266
M5C784	PF00732,PF05199
A0A174ZZA5	PF01266,PF04324
B2AFD8	PF00732,PF05199
A0A2H6HEY5	PF05199
A0A0L1J9N0	PF00732,PF01494,PF05199
A0A0L9THW6	PF00732,PF05199
K0K9R7	PF00732,PF05199
B2J020	PF01565,PF04030
A0A284VRK6	PF01070
S7SU43	PF01565
A0A085FLP7	PF01565
A2QIB9	PF00732,PF05199
A0A0M7LBC1	PF01266
F2R5J6	PF05199
C5APK1	PF00652,PF09118,PF14200
Q3F0R7	PF01565,PF04030
W8GFP9	PF01266
B8LTH7	PF00732,PF05199
C5II17	PF01565,PF09129
A0A0K2XRH9	PF01565,PF02913
A0A1V6E3Y2	PF01266,PF04324
A0A017H745	PF01266
S5MTE2	PF01266
A0A397TQX6	PF00732,PF05199
A0A075WBB5	PF01565,PF02913
A0A0M2HFS4	PF01266
Q7NC64	PF01266
A0A0L1KG34	PF00732,PF05199
A0A151B2B9	PF01266,PF04324
A0A0U5L8D3	PF01266,PF04324
A0A2I0I5R1	PF00732,PF05199
A0A109BJK0	PF00732,PF05199,PF12697
A0A0T9HFD7	PF01266
Q03DS7	PF01266,PF16901
A1T4N1	PF01070
A0A2S6TFR6	PF01266
X5JVY4	PF01266
A0A251ZKX1	PF01266
A0A218WDE7	PF00732,PF05199
A0A0H1IK42	PF01266,PF16901
A0A1S8TH47	PF01266,PF04324
D4MUZ9	PF01565,PF02913
W7W7C1	PF01565,PF08241
M7MKV4	PF01565,PF04030
A5GQ90	PF01565
A0A2H6HDP1	PF00732,PF05199
A0A1R3UNR1	PF01565,PF04030
A0A0M9ULF4	
A0A0N1H630	PF01565,PF04030
A0A061EMN9	PF00732,PF05199
A6SUS8	PF01565,PF02913
M5C2L8	PF05199
A0A0H3KGZ2	PF01565,PF02913
Q19U05	PF01070
B0STP5	PF01266,PF16901
A0A0J6WGE4	PF00732,PF05199
A0A2X4U7Y9	PF00732,PF05199
A0A0D8BFH2	PF00732,PF05199
A0A2P9IS71	PF01168
D2PYB3	PF00732,PF05199
A0A067KNM1	PF00732,PF05199
A0A2X0YMS7	PF02754
A0A239VA28	PF00732,PF05199
A0A174H7H3	PF01266,PF04324
A0A0U0H6R2	PF01266,PF16901
A0A0E1S6K3	PF01565,PF02913
A0A0U5P4V4	PF01266,PF04324
A0A0L0SEN7	PF00732,PF05199
A0A0C1LF24	PF01565,PF02913
K4CMP1	PF00732,PF05199
A0A231HAB3	PF00732,PF05199
L7VFV2	PF00732,PF05199
A0A2X3AQJ9	PF00732,PF05199
A0A2K3QK04	PF00732,PF05199
A0A0F0C8R9	PF01266,PF04324
A0A0F0KHR5	PF00732,PF00890,PF05199
Q9UVU1	PF00732,PF05199
A0A2G9I9H2	PF00732,PF05199
A0A011QMR4	PF01266
M3DAK6	PF00732,PF05199
A0A2H3SA67	PF00732,PF05199
F8WQN2	PF01070
A0A2V1AN63	PF00732,PF05199
H8W5V1	PF01266,PF16901
A0A2X1B977	PF00732
A0A2V1CDK0	PF00732,PF05199
A5LGF2	PF00732
Q9U8X6	PF00732,PF05199
T0ZV22	PF01565
Q5P1Z4	PF01565,PF02913
B3PR96	PF01565,PF02913
A0A0N0MXD2	PF00754,PF09118
A0A0K2XR40	
A0A2H3IPY9	PF00732,PF05199
A2RB46	PF00732,PF05199
A0A0N9YJI4	PF01565,PF02913
A0A0F7PEF6	PF01266
C4IN80	PF08543
A0A2J6KCM9	PF00732,PF05199
A0A1C5RA52	PF01266,PF04324
A0A1C5T583	PF01266,PF04324
A0A0D8HYB4	PF05199
J7L7I4	PF00732,PF05199
V9DAR1	PF00732,PF05199
W5VYK6	PF01266
A0A367XW11	PF00732,PF05199
A0A166FZR5	PF00732,PF05199
G2XQ18	PF00732,PF05199
A0A1K2FMY5	PF01565,PF04030
B6BM25	PF01565,PF02913
E3HEJ9	PF01565,PF02913
A0A0B0HAB7	PF01565,PF02913
A0A0M7A909	PF01266
A0A1V5V7S7	PF01266,PF04324
A0A1S7TNM3	PF01565
F4CRK7	PF01070
A0A178XCA5	PF01266
A0A1W2TEZ5	PF01565,PF04030
Q2G889	PF01565,PF02913
A0A2S6Q8G6	PF01266
A0A151U5S0	PF00732,PF05199
A7HXF5	PF01565,PF04030
A0A2X2T8V9	PF00732,PF05199
A0A1Y2MUF7	PF01266
A0A2K3PGR7	PF00732,PF05199
A0A2H6FEQ7	PF05199
A2R501	PF00732,PF05199
A0A011PLX9	PF00732,PF05199
B7RR92	PF01070
Q7VHU4	PF01565,PF02913
F2R038	PF00732,PF05199
W6RD42	PF01565,PF02913
A0A314L1I0	PF00732,PF05199
S7Z8U8	PF00732,PF05199
E4QP00	PF00732,PF05199
A2QK04	PF00732,PF05199
A4TB53	PF00732,PF05199
G4D1T0	PF01565,PF02913
A0A0W8FWC1	PF01266
A0A2Z6P5L5	PF00732,PF00890,PF05199
A0A1B4X4R1	PF02754
A0A0U1AUR2	PF01565,PF04030
A0A0T9K2U0	PF00732,PF05199
C7MXW2	PF05199
A0A2X3KC12	PF00732,PF05199
A0A2H1JJR0	PF01565,PF02913
J7JBJ3	PF01565,PF04030
D4XA34	PF02754,PF13183
A0A0H5P0S5	PF01266
A0A1Y2N4I8	PF05199
A0A1S8A634	PF05199
B7PME7	PF01070
A0A111ABK1	PF01266,PF16901
M4V3C6	PF00732,PF05199
E1VTJ7	PF00732,PF05199
Q9P8D7	PF00732,PF05199
A0A162M7X2	PF01070
A0A1Z3HRI2	PF01070
A0A0K9RVS4	PF00732,PF05199
A0A254U0B2	PF00732,PF05199
G6CEN2	PF01266,PF16901
A0A2N9LU54	PF01266
A0A2X2KWU3	PF01565,PF04030
A0A0S3SPL0	PF00732,PF05199
A0A2U3N1C3	PF01266
H0E0N2	PF01266
C5C5G4	PF01565,PF04030
W4A516	PF01565,PF04030
A5CXA9	PF01565,PF02913
A0A1F2Q453	PF05199
A0A292YTD8	PF01168
A5LGE6	PF00732
A0A2H1J173	PF01565,PF02913
A0A084GHW2	PF01565,PF02913
A0A2V1DNY8	PF00732,PF05199
A0A2V1AAQ8	PF00732,PF05199
W6I5R7	PF01565
Q1LMF7	PF01565,PF02913
A0A0M9IQE6	PF01266
U4QFU8	PF02913
F0P237	PF00732,PF05199
A0A1X6XU56	PF01168
U4KJ49	PF01266,PF16901
A0A231H8T3	PF00732,PF05199
A0A0H5NY23	PF05199
Q9WU19	PF01070
