node	synthesized	substrate_available	rep1_soluble	rep1_active	rep2_soluble	rep2_active	rep3_soluble	rep3_active	total_soluble	total_active
A1R258	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE
A2CCV2	TRUE	TRUE	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
A2QIB9	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
A2QK04	TRUE	TRUE	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
A2QTA3	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE
A2Z8H1	TRUE	TRUE	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
A4HXL3	TRUE	TRUE	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
A4YVE0	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
A5CXB1	TRUE	TRUE	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
A9D099	TRUE	TRUE	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
A9KFF0	TRUE	TRUE	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
A9QAE7	TRUE	TRUE	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
A9QH69	TRUE	TRUE	FALSE	NA	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
A9WL67	TRUE	TRUE	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
B0ED25	TRUE	TRUE	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
B0STP5	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
B1HZY7	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
B2IUG1	TRUE	TRUE	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
B3R195	TRUE	TRUE	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
B5WUJ3	TRUE	TRUE	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
B7N6P4	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
B7QAT8	TRUE	TRUE	FALSE	NA	TRUE	FALSE	FALSE	NA	FALSE	NA
B7QMD1	TRUE	TRUE	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
B7RR92	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	NA	TRUE	TRUE
B8LTH8	TRUE	TRUE	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
B8LUI6	TRUE	TRUE	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
B9R845	TRUE	TRUE	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
B9S0Y9	TRUE	TRUE	FALSE	NA	TRUE	TRUE	FALSE	NA	FALSE	NA
B9ST70	TRUE	TRUE	TRUE	FALSE	FALSE	NA	FALSE	NA	FALSE	NA
B9THK9	TRUE	TRUE	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
B9WMY6	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
C0XIJ3	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	NA	TRUE	FALSE
C3MKW7	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE
C4VMW0	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
C4WH31	TRUE	TRUE	FALSE	NA	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE
C9Y9E7	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
C9YDG8	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE
D3NRV6	TRUE	TRUE	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
D4MUV9	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
D4N087	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
D4XIR1	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE
D5KB61	TRUE	TRUE	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
D7UQ40	TRUE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
E0MUP1	TRUE	TRUE	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
E1UR06	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE
E3J7L2	TRUE	TRUE	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
F0TBY7	TRUE	TRUE	FALSE	NA	FALSE	NA	TRUE	FALSE	FALSE	NA
F4CRU5	TRUE	TRUE	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
F4G5A4	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	NA	TRUE	FALSE
F5SJF3	TRUE	TRUE	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
F8B3Q8	TRUE	TRUE	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
F9EP79	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
F9ZK57	TRUE	TRUE	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
G4CXE1	TRUE	TRUE	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
G4HXT0	TRUE	TRUE	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
G6F8W6	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE
G6FBF9	TRUE	TRUE	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
G8Q6J7	TRUE	TRUE	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
G9A9S4	TRUE	TRUE	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
H0EAY8	TRUE	TRUE	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
H0RSU3	TRUE	TRUE	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
H0SIC1	TRUE	TRUE	FALSE	NA	TRUE	FALSE	FALSE	NA	FALSE	NA
H8W5V1	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE
I0K1R9	TRUE	TRUE	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
I4EXQ4	TRUE	TRUE	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
I4G7M6	TRUE	TRUE	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
I7IZ16	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE
I7KK15	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE
I9UMF5	TRUE	TRUE	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
J7LVS7	TRUE	TRUE	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
K0NHF1	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE
K4LGZ0	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE
K4R330	TRUE	TRUE	TRUE	FALSE	FALSE	NA	TRUE	TRUE	TRUE	FALSE
K9U6P8	TRUE	TRUE	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
L1KIC4	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
M2Y0E7	TRUE	TRUE	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
M4KHX7	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE
M5C2L8	TRUE	TRUE	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
M5CC52	TRUE	TRUE	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
M5CRB8	TRUE	TRUE	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
M5F6A5	TRUE	TRUE	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
M5FLZ5	TRUE	TRUE	FALSE	NA	FALSE	NA	TRUE	FALSE	FALSE	NA
M9TNS6	TRUE	TRUE	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
N0D146	TRUE	TRUE	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
P10867	TRUE	TRUE	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
P56216	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
P93762	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
Q0K750	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	NA	TRUE	FALSE
Q1LC23	TRUE	TRUE	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
Q2LWG4	TRUE	TRUE	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
Q2YIX9	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE
Q3AMA9	TRUE	TRUE	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
Q4WCK6	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
Q53U15	TRUE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
Q5WIP4	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
Q6L2S0	TRUE	TRUE	TRUE	FALSE	FALSE	NA	FALSE	NA	FALSE	NA
Q6MTY6	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
Q7WZ62	TRUE	TRUE	TRUE	FALSE	FALSE	NA	FALSE	NA	FALSE	NA
Q8EEB0	TRUE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
Q8J2V8	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q8XW09	TRUE	TRUE	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
Q96Y72	TRUE	TRUE	TRUE	FALSE	FALSE	NA	FALSE	NA	FALSE	NA
Q9FM84	TRUE	TRUE	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
R7ZSU7	TRUE	TRUE	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
S0FWI7	TRUE	TRUE	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
S5UC18	TRUE	TRUE	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
S6BUT8	TRUE	TRUE	TRUE	FALSE	FALSE	NA	TRUE	FALSE	TRUE	FALSE
S7SZ03	TRUE	TRUE	FALSE	NA	TRUE	TRUE	FALSE	NA	FALSE	NA
U3TSG9	TRUE	TRUE	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
U4PUB6	TRUE	TRUE	FALSE	NA	TRUE	FALSE	FALSE	NA	FALSE	NA
V9Q617	TRUE	TRUE	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
W6W585	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	NA	TRUE	TRUE
W9N2G4	TRUE	TRUE	FALSE	NA	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE
X7YWP4	TRUE	TRUE	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
