uid	taxid	organism	superkingdom	ph	temperature	pfam	lineage_identifiers	lineage_ranks	lineage_names
B7PIZ7	6945	Ixodes scapularis	Eukaryota	NA	NA	NA	1, 131567, 2759, 33154, 33208, 6072, 33213, 33317, 1206794, 88770, 6656, 6843, 6854, 6933, 6934, 6935, 297308, 6939, 426442, 6944, 6945	root, no rank, superkingdom, no rank, kingdom, no rank, no rank, no rank, no rank, no rank, phylum, subphylum, class, subclass, superorder, order, superfamily, family, subfamily, genus, species	root, cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Panarthropoda, Arthropoda, Chelicerata, Arachnida, Acari, Parasitiformes, Ixodida, Ixodoidea, Ixodidae, Ixodinae, Ixodes, Ixodes scapularis
B8LTH8	441959	Talaromyces stipitatus	Eukaryota	5.6	25.0	NA	1, 131567, 2759, 33154, 4751, 451864, 4890, 716545, 147538, 716546, 147545, 451871, 5042, 28568, 5094, 28564, 441959	root, no rank, superkingdom, no rank, kingdom, subkingdom, phylum, no rank, subphylum, no rank, class, subclass, order, family, genus, species, no rank	root, cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Ascomycota, saccharomyceta, Pezizomycotina, leotiomyceta, Eurotiomycetes, Eurotiomycetidae, Eurotiales, Trichocomaceae, Talaromyces, Talaromyces stipitatus, Talaromyces stipitatus ATCC 10500
M5C7F4	1108050	Rhizoctonia solani	Eukaryota	5.6	24.0	NA	1, 131567, 2759, 33154, 4751, 451864, 5204, 5302, 155619, 355688, 36064, 5250, 1322061, 456999, 1108050	root, no rank, superkingdom, no rank, kingdom, subkingdom, phylum, subphylum, class, no rank, order, family, genus, species, no rank	root, cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Basidiomycota, Agaricomycotina, Agaricomycetes, Agaricomycetes incertae sedis, Cantharellales, Ceratobasidiaceae, Rhizoctonia, Rhizoctonia solani, Rhizoctonia solani AG-1 IB
M5CH40	1108050	Rhizoctonia solani	Eukaryota	5.6	24.0	PF00732, PF05199	1, 131567, 2759, 33154, 4751, 451864, 5204, 5302, 155619, 355688, 36064, 5250, 1322061, 456999, 1108050	root, no rank, superkingdom, no rank, kingdom, subkingdom, phylum, subphylum, class, no rank, order, family, genus, species, no rank	root, cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Basidiomycota, Agaricomycotina, Agaricomycetes, Agaricomycetes incertae sedis, Cantharellales, Ceratobasidiaceae, Rhizoctonia, Rhizoctonia solani, Rhizoctonia solani AG-1 IB
M5C8F8	1108050	Rhizoctonia solani	Eukaryota	5.6	24.0	PF05199	1, 131567, 2759, 33154, 4751, 451864, 5204, 5302, 155619, 355688, 36064, 5250, 1322061, 456999, 1108050	root, no rank, superkingdom, no rank, kingdom, subkingdom, phylum, subphylum, class, no rank, order, family, genus, species, no rank	root, cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Basidiomycota, Agaricomycotina, Agaricomycetes, Agaricomycetes incertae sedis, Cantharellales, Ceratobasidiaceae, Rhizoctonia, Rhizoctonia solani, Rhizoctonia solani AG-1 IB
M5C2L8	1108050	Rhizoctonia solani	Eukaryota	5.6	24.0	PF05199	1, 131567, 2759, 33154, 4751, 451864, 5204, 5302, 155619, 355688, 36064, 5250, 1322061, 456999, 1108050	root, no rank, superkingdom, no rank, kingdom, subkingdom, phylum, subphylum, class, no rank, order, family, genus, species, no rank	root, cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Basidiomycota, Agaricomycotina, Agaricomycetes, Agaricomycetes incertae sedis, Cantharellales, Ceratobasidiaceae, Rhizoctonia, Rhizoctonia solani, Rhizoctonia solani AG-1 IB
M5C784	1108050	Rhizoctonia solani	Eukaryota	5.6	24.0	PF00732, PF05199	1, 131567, 2759, 33154, 4751, 451864, 5204, 5302, 155619, 355688, 36064, 5250, 1322061, 456999, 1108050	root, no rank, superkingdom, no rank, kingdom, subkingdom, phylum, subphylum, class, no rank, order, family, genus, species, no rank	root, cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Basidiomycota, Agaricomycotina, Agaricomycetes, Agaricomycetes incertae sedis, Cantharellales, Ceratobasidiaceae, Rhizoctonia, Rhizoctonia solani, Rhizoctonia solani AG-1 IB
M5CB66	1108050	Rhizoctonia solani	Eukaryota	5.6	24.0	NA	1, 131567, 2759, 33154, 4751, 451864, 5204, 5302, 155619, 355688, 36064, 5250, 1322061, 456999, 1108050	root, no rank, superkingdom, no rank, kingdom, subkingdom, phylum, subphylum, class, no rank, order, family, genus, species, no rank	root, cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Basidiomycota, Agaricomycotina, Agaricomycetes, Agaricomycetes incertae sedis, Cantharellales, Ceratobasidiaceae, Rhizoctonia, Rhizoctonia solani, Rhizoctonia solani AG-1 IB
M5CC52	1108050	Rhizoctonia solani	Eukaryota	5.6	24.0	NA	1, 131567, 2759, 33154, 4751, 451864, 5204, 5302, 155619, 355688, 36064, 5250, 1322061, 456999, 1108050	root, no rank, superkingdom, no rank, kingdom, subkingdom, phylum, subphylum, class, no rank, order, family, genus, species, no rank	root, cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Basidiomycota, Agaricomycotina, Agaricomycetes, Agaricomycetes incertae sedis, Cantharellales, Ceratobasidiaceae, Rhizoctonia, Rhizoctonia solani, Rhizoctonia solani AG-1 IB
A5LGE0	51926	[candida] sonorensis	Eukaryota	NA	NA	NA	1, 131567, 2759, 33154, 4751, 451864, 4890, 716545, 147537, 4891, 4892, 1156497, 461281, 1540042, 51926	root, no rank, superkingdom, no rank, kingdom, subkingdom, phylum, no rank, subphylum, class, order, family, genus, no rank, species	root, cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Ascomycota, saccharomyceta, Saccharomycotina, Saccharomycetes, Saccharomycetales, Pichiaceae, Ogataea, Ogataea/Candida clade, [Candida] sonorensis
A0A2K4ZDQ6	879566	Acetatifactor muris	Bacteria	6.7	37.0	PF01266, PF04324	1, 131567, 2, 1783272, 1239, 186801, 186802, 186803, 1427378, 879566	root, no rank, superkingdom, no rank, phylum, class, order, family, genus, species	root, cellular organisms, Bacteria, Terrabacteria group, Firmicutes, Clostridia, Clostridiales, Lachnospiraceae, Acetatifactor, Acetatifactor muris
A0A0U5F9V4	431306	Acetobacter ghanensis	Bacteria	NA	30.0	NA	1, 131567, 2, 1224, 28211, 204441, 433, 434, 431306	root, no rank, superkingdom, phylum, class, order, family, genus, species	root, cellular organisms, Bacteria, Proteobacteria, Alphaproteobacteria, Rhodospirillales, Acetobacteraceae, Acetobacter, Acetobacter ghanensis
A0A1Y0XVA5	481145	Acetobacter pasteurianus	Bacteria	6.8	27.0	NA	1, 131567, 2, 1224, 28211, 204441, 433, 434, 438, 481145	root, no rank, superkingdom, phylum, class, order, family, genus, species, subspecies	root, cellular organisms, Bacteria, Proteobacteria, Alphaproteobacteria, Rhodospirillales, Acetobacteraceae, Acetobacter, Acetobacter pasteurianus, Acetobacter pasteurianus subsp. pasteurianus
S6DC87	1266844	Acetobacter pasteurianus	Bacteria	6.8	27.0	NA	1, 131567, 2, 1224, 28211, 204441, 433, 434, 438, 1266844	root, no rank, superkingdom, phylum, class, order, family, genus, species, no rank	root, cellular organisms, Bacteria, Proteobacteria, Alphaproteobacteria, Rhodospirillales, Acetobacteraceae, Acetobacter, Acetobacter pasteurianus, Acetobacter pasteurianus 386B
A0A1Y0UUM1	481146	Acetobacter ascendens	Bacteria	NA	NA	NA	1, 131567, 2, 1224, 28211, 204441, 433, 434, 481146	root, no rank, superkingdom, phylum, class, order, family, genus, species	root, cellular organisms, Bacteria, Proteobacteria, Alphaproteobacteria, Rhodospirillales, Acetobacteraceae, Acetobacter, Acetobacter ascendens
A0A1A0DC63	438	Acetobacter pasteurianus	Bacteria	6.8	27.0	NA	1, 131567, 2, 1224, 28211, 204441, 433, 434, 438	root, no rank, superkingdom, phylum, class, order, family, genus, species	root, cellular organisms, Bacteria, Proteobacteria, Alphaproteobacteria, Rhodospirillales, Acetobacteraceae, Acetobacter, Acetobacter pasteurianus
A0A1F2PDL2	52694	Acetobacterium wieringae	Bacteria	7.6	30.0	PF01266, PF04324	1, 131567, 2, 1783272, 1239, 186801, 186802, 186806, 33951, 52694	root, no rank, superkingdom, no rank, phylum, class, order, family, genus, species	root, cellular organisms, Bacteria, Terrabacteria group, Firmicutes, Clostridia, Clostridiales, Eubacteriaceae, Acetobacterium, Acetobacterium wieringae
A0A1F2PK47	52694	Acetobacterium wieringae	Bacteria	7.6	30.0	PF01266, PF04324	1, 131567, 2, 1783272, 1239, 186801, 186802, 186806, 33951, 52694	root, no rank, superkingdom, no rank, phylum, class, order, family, genus, species	root, cellular organisms, Bacteria, Terrabacteria group, Firmicutes, Clostridia, Clostridiales, Eubacteriaceae, Acetobacterium, Acetobacterium wieringae
A0A2X0SPC1	217203	Achromobacter spanius	Bacteria	7.0	32.0	NA	1, 131567, 2, 1224, 28216, 80840, 506, 222, 217203	root, no rank, superkingdom, phylum, class, order, family, genus, species	root, cellular organisms, Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Alcaligenaceae, Achromobacter, Achromobacter spanius
A0A2X0SWG9	217203	Achromobacter spanius	Bacteria	7.0	32.0	NA	1, 131567, 2, 1224, 28216, 80840, 506, 222, 217203	root, no rank, superkingdom, phylum, class, order, family, genus, species	root, cellular organisms, Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Alcaligenaceae, Achromobacter, Achromobacter spanius
D4XA33	742159	Achromobacter piechaudii	Bacteria	7.15	31.0	NA	1, 131567, 2, 1224, 28216, 80840, 506, 222, 72556, 742159	root, no rank, superkingdom, phylum, class, order, family, genus, species, no rank	root, cellular organisms, Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Alcaligenaceae, Achromobacter, Achromobacter piechaudii, Achromobacter piechaudii ATCC 43553
D4XIR1	742159	Achromobacter piechaudii	Bacteria	7.15	31.0	NA	1, 131567, 2, 1224, 28216, 80840, 506, 222, 72556, 742159	root, no rank, superkingdom, phylum, class, order, family, genus, species, no rank	root, cellular organisms, Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Alcaligenaceae, Achromobacter, Achromobacter piechaudii, Achromobacter piechaudii ATCC 43553
D4XA32	742159	Achromobacter piechaudii	Bacteria	7.15	31.0	NA	1, 131567, 2, 1224, 28216, 80840, 506, 222, 72556, 742159	root, no rank, superkingdom, phylum, class, order, family, genus, species, no rank	root, cellular organisms, Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Alcaligenaceae, Achromobacter, Achromobacter piechaudii, Achromobacter piechaudii ATCC 43553
D4XA34	742159	Achromobacter piechaudii	Bacteria	7.15	31.0	NA	1, 131567, 2, 1224, 28216, 80840, 506, 222, 72556, 742159	root, no rank, superkingdom, phylum, class, order, family, genus, species, no rank	root, cellular organisms, Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Alcaligenaceae, Achromobacter, Achromobacter piechaudii, Achromobacter piechaudii ATCC 43553
A0A0M7BTY0	134375	Achromobacter sp.	Bacteria	7.1	28.0	PF01266	1, 131567, 2, 1224, 28216, 80840, 506, 222, 134375	root, no rank, superkingdom, phylum, class, order, family, genus, species	root, cellular organisms, Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Alcaligenaceae, Achromobacter, Achromobacter sp.
A0A0M7NE14	1806490	Achromobacter sp.	Bacteria	7.1	28.0	PF01266	1, 131567, 2, 1224, 28216, 80840, 506, 222, 1806490	root, no rank, superkingdom, phylum, class, order, family, genus, species	root, cellular organisms, Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Alcaligenaceae, Achromobacter, Achromobacter sp. ATCC35328
A0A0M7LBC1	134375	Achromobacter sp.	Bacteria	7.1	28.0	PF01266	1, 131567, 2, 1224, 28216, 80840, 506, 222, 134375	root, no rank, superkingdom, phylum, class, order, family, genus, species	root, cellular organisms, Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Alcaligenaceae, Achromobacter, Achromobacter sp.
A0A0M7DGE4	134375	Achromobacter sp.	Bacteria	7.1	28.0	PF01266	1, 131567, 2, 1224, 28216, 80840, 506, 222, 134375	root, no rank, superkingdom, phylum, class, order, family, genus, species	root, cellular organisms, Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Alcaligenaceae, Achromobacter, Achromobacter sp.
A0A0M7MCW0	134375	Achromobacter sp.	Bacteria	7.1	28.0	PF01266	1, 131567, 2, 1224, 28216, 80840, 506, 222, 134375	root, no rank, superkingdom, phylum, class, order, family, genus, species	root, cellular organisms, Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Alcaligenaceae, Achromobacter, Achromobacter sp.
E3HEK0	762376	Achromobacter xylosoxidans	Bacteria	7.14	31.0	NA	1, 131567, 2, 1224, 28216, 80840, 506, 222, 85698, 762376	root, no rank, superkingdom, phylum, class, order, family, genus, species, no rank	root, cellular organisms, Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Alcaligenaceae, Achromobacter, Achromobacter xylosoxidans, Achromobacter xylosoxidans A8
E3HEJ9	762376	Achromobacter xylosoxidans	Bacteria	7.14	31.0	NA	1, 131567, 2, 1224, 28216, 80840, 506, 222, 85698, 762376	root, no rank, superkingdom, phylum, class, order, family, genus, species, no rank	root, cellular organisms, Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Alcaligenaceae, Achromobacter, Achromobacter xylosoxidans, Achromobacter xylosoxidans A8
K7S8X4	1171373	Acidipropionibacterium acidipropionici	Bacteria	NA	30.0	NA	1, 131567, 2, 1783272, 201174, 1760, 85009, 31957, 1912215, 1748, 1171373	root, no rank, superkingdom, no rank, phylum, class, order, family, genus, species, no rank	root, cellular organisms, Bacteria, Terrabacteria group, Actinobacteria, Actinobacteria, Propionibacteriales, Propionibacteriaceae, Acidipropionibacterium, Acidipropionibacterium acidipropionici, Acidipropionibacterium acidipropionici ATCC 4875
A0A1V6HVB3	1852786	Acidobacteria bacterium	Bacteria	NA	NA	PF01266	1, 131567, 2, 57723, 458031, 305072, 1852786	root, no rank, superkingdom, phylum, no rank, no rank, species	root, cellular organisms, Bacteria, Acidobacteria, unclassified Acidobacteria, unclassified Acidobacteria (miscellaneous), Acidobacteria bacterium ADurb.Bin051
A1W3D8	232721	Acidovorax sp.	Bacteria	7.05	29.0	NA	1, 131567, 2, 1224, 28216, 80840, 80864, 12916, 232721	root, no rank, superkingdom, phylum, class, order, family, genus, species	root, cellular organisms, Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Comamonadaceae, Acidovorax, Acidovorax sp. JS42
A1WAZ5	232721	Acidovorax sp.	Bacteria	7.05	29.0	NA	1, 131567, 2, 1224, 28216, 80840, 80864, 12916, 232721	root, no rank, superkingdom, phylum, class, order, family, genus, species	root, cellular organisms, Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Comamonadaceae, Acidovorax, Acidovorax sp. JS42
A0A1G5LLR7	287	Pseudomonas aeruginosa	Bacteria	7.16	34.0	NA	1, 131567, 2, 1224, 1236, 72274, 135621, 286, 136841, 287	root, no rank, superkingdom, phylum, class, order, family, genus, species group, species	root, cellular organisms, Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Pseudomonas, Pseudomonas aeruginosa group, Pseudomonas aeruginosa
A0A1G5LWX5	287	Pseudomonas aeruginosa	Bacteria	7.16	34.0	NA	1, 131567, 2, 1224, 1236, 72274, 135621, 286, 136841, 287	root, no rank, superkingdom, phylum, class, order, family, genus, species group, species	root, cellular organisms, Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Pseudomonas, Pseudomonas aeruginosa group, Pseudomonas aeruginosa
A0A1P8PH87	108981	Acinetobacter schindleri	Bacteria	7.0	29.0	NA	1, 131567, 2, 1224, 1236, 72274, 468, 469, 108981	root, no rank, superkingdom, phylum, class, order, family, genus, species	root, cellular organisms, Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Moraxellaceae, Acinetobacter, Acinetobacter schindleri
A0A2U3N1C3	2126983	Acinetobacter sp.	Bacteria	7.18	32.0	PF01266	1, 131567, 2, 1224, 1236, 72274, 468, 469, 2126983	root, no rank, superkingdom, phylum, class, order, family, genus, species	root, cellular organisms, Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Moraxellaceae, Acinetobacter, Acinetobacter sp. KPC-SM-21
