uid	taxid	organism	superkingdom	ph	temperature	ec	synthesized	substrate_available	total_soluble	total_active	batch	glycolate	lactate	2-hydroxyglutarate	2-hydroxyoctanoate	2-hydroxystearate	mandelate	in_brenda	in_swissprot	pfam	max_database_sim	max_active_sim	max_all_sim
W0AYF0	1440052.0	Escherichia albertii	Bacteria	7.3	30.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01266	16.4	98.3	98.3
A0A0S3N043	208962.0	Escherichia albertii	Bacteria	7.3	30.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01266	16.4	98.1	98.1
A0A0U5P4V4	1776047.0	Clostridium sp.	Bacteria	7.0	35.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01266,PF04324	16.0	25.0	25.0
B6BM25	929558.0	Sulfurimonas gotlandica	Bacteria	7.0	15.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01565,PF02913	17.3	34.3	34.3
S7SZ03	886559.0	Geobacillus sp.	Bacteria	7.28	54.0	1.1.3.15	Yes	Yes	No	NA	first	NA	NA	NA	NA	NA	NA	No	No	PF01565,PF02913	17.0	22.5	22.5
V0AYW5	1269006.0	Klebsiella pneumoniae	Bacteria	7.07	34.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01266	18.1	89.6	89.6
Q7NZM1	243365.0	Chromobacterium violaceum	Bacteria	7.0	31.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01565,PF02913	16.6	35.1	35.1
J0FCM7	992079.0	Helicobacter pylori	Bacteria	NA	37.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF02754	14.1	14.6	14.6
D8IRW1	757424.0	Herbaspirillum seropedicae	Bacteria	6.91	30.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01565	19.6	20.3	20.3
H4UMR9	868160.0	Escherichia coli	Bacteria	7.01	36.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01266	17.1	98.8	98.8
J0T775	992119.0	Helicobacter pylori	Bacteria	NA	37.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF02754	14.3	14.3	14.3
Q3JNY8	320372.0	Burkholderia pseudomallei	Bacteria	NA	37.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01565	20.3	20.3	20.3
A3RTD5	342110.0	Ralstonia solanacearum	Bacteria	7.0	29.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01565,PF02913	17.7	42.2	42.2
J0ABA9	992036.0	Helicobacter pylori	Bacteria	NA	37.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF02754	14.3	14.5	14.5
S0WG00	1169349.0	Escherichia sp.	Bacteria	7.0	37.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01266	16.4	98.8	98.8
A0A0J7JDW3	1658765.0	Marinobacter subterrani	Bacteria	NA	NA	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01565,PF02913	16.4	31.3	31.3
A0A060UWI8	1463165.0	Klebsiella quasipneumoniae	Bacteria	7.0	34.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01266	17.4	88.2	88.2
V0SFE2	NA	NA	Bacteria	NA	NA	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01266	17.1	99.1	99.1
A0A073CPZ1	388467.0	Planktothrix agardhii	Bacteria	NA	21.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01565,PF02913	16.5	30.8	30.8
A0A073CBY9	388467.0	Planktothrix agardhii	Bacteria	NA	21.0	1.1.3.15	Yes	Yes	Yes	No	first	No	No	No	No	No	No	No	No	PF01565	16.6	21.8	21.8
A0A0W0RBD6	28083.0	Legionella birminghamensis	Bacteria	6.9	37.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01070	42.2	36.2	42.2
A0A069XGS7	1444252.0	Escherichia coli	Bacteria	7.01	36.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01266	17.0	82.5	82.5
A0A0A1RXP1	1563222.0	Citrobacter pasteurii	Bacteria	NA	29.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01266	16.2	91.7	91.7
U4QGJ9	1226335.0	Lactobacillus helveticus	Bacteria	6.35	37.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF02913	13.1	13.9	13.9
B7RMW0	391589.0	Roseobacter sp.	Bacteria	7.6	28.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01565,PF02913	16.1	27.1	27.1
J0LV76	992048.0	Helicobacter pylori	Bacteria	NA	37.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF02754	14.3	14.5	14.5
Q57KY4	321314.0	Salmonella enterica	Bacteria	7.12	36.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01266	17.1	98.1	98.1
C7CDF7	661410.0	Methylorubrum extorquens	Bacteria	NA	NA	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01565,PF02913	16.4	27.6	27.6
S1DZY6	NA	NA	Bacteria	NA	NA	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01266	17.1	99.5	99.5
A0A0H3BNM7	423368.0	Salmonella enterica	Bacteria	7.12	36.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01266	17.3	97.9	97.9
A0A0M5KI04	546.0	Citrobacter freundii	Bacteria	7.15	35.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01266	16.9	92.4	92.4
A0A0J2GHS7	NA	NA	Bacteria	NA	NA	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01266	18.1	89.3	89.3
Q1LMF7	266264.0	Cupriavidus metallidurans	Bacteria	6.9	30.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01565,PF02913	16.8	37.3	37.3
A0A080NFB1	80866.0	Delftia acidovorans	Bacteria	7.05	29.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01070	40.7	48.0	48.0
A0A0W0VL21	45067.0	Legionella lansingensis	Bacteria	6.9	37.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01070	35.6	43.3	43.3
L2VQG1	NA	NA	Bacteria	NA	NA	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01266	16.8	98.3	98.3
A0A0F7JCH0	NA	NA	Bacteria	NA	NA	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	CL0100,PF01266	17.1	98.1	98.1
A0A080INM6	1444163.0	Escherichia coli	Bacteria	7.01	36.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01266	17.1	99.5	99.5
I9Q9Y3	992025.0	Helicobacter pylori	Bacteria	NA	37.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF02754	14.3	14.3	14.3
B1H6I0	320374.0	Burkholderia pseudomallei	Bacteria	NA	37.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF00109,PF00550,PF02801,PF08659,PF16197	9.9	10.4	10.4
W9AIT9	941322.0	Escherichia coli	Bacteria	7.01	36.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01266	16.6	93.2	93.2
I2UF32	869681.0	Escherichia coli	Bacteria	7.01	36.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01266	16.9	99.1	99.1
A0A0C1NL19	1515610.0	Prauserella sp.	Bacteria	NA	NA	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01565,PF02913	17.7	33.1	33.1
A0A0D0LS41	562.0	Escherichia coli	Bacteria	7.01	36.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01266	16.9	99.5	99.5
C0XIJ3	1423757.0	Lactobacillus hilgardii	Bacteria	6.35	33.0	1.1.3.15	Yes	Yes	Yes	No	first	No	No	No	No	No	No	No	No	PF01070	57.0	47.3	57.0
A0A0I9NMW4	244366.0	Klebsiella variicola	Bacteria	7.0	29.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01266	18.2	88.4	88.4
A0A0P1CSH2	454171.0	Chthonomonas calidirosea	Bacteria	6.93	60.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01565,PF02913	17.0	30.8	30.8
J0INP2	992023.0	Helicobacter pylori	Bacteria	NA	37.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF02754	14.3	14.0	14.3
M7NB96	1279009.0	Cesiribacter andamanensis	Bacteria	7.6	33.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01266	16.7	61.8	61.8
A0A0H2WSA4	295319.0	Salmonella enterica	Bacteria	7.12	36.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01266	17.3	97.9	97.9
Q8X952	83334.0	Escherichia coli	Bacteria	7.01	36.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01266	16.4	93.9	93.9
A0A0T5JU07	NA	NA	Bacteria	NA	NA	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01266	16.9	99.3	99.3
A9F5V5	448385.0	Sorangium cellulosum	Bacteria	7.2	28.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01070	49.7	40.1	49.7
W0X3F8	698936.0	Sinorhizobium meliloti	Bacteria	7.0	27.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01070	35.8	57.7	57.7
A0A0K1E2Q1	1227555.0	Pyrobaculum sp.	Archaea	NA	NA	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01565,PF02913	17.4	32.2	32.2
A0A0W0Y0Z9	45073.0	Legionella quinlivanii	Bacteria	6.9	37.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01070	39.5	34.1	39.5
A0A083ZPU0	358.0	Agrobacterium tumefaciens	Bacteria	7.1	28.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01565	18.3	23.1	23.1
A5CXB1	412965.0	Candidatus vesicomyosocius	Bacteria	NA	NA	1.1.3.15	Yes	Yes	No	NA	first	NA	NA	NA	NA	NA	NA	No	No	PF02754,PF12838	16.6	16.6	16.6
A0A0J6V898	1800.0	Mycolicibacterium chubuense	Bacteria	NA	NA	1.1.3.15	Yes	Yes	Yes	No	first	No	No	No	No	No	No	No	No	PF01266,PF04324	17.6	22.5	22.5
A0A0N0MLM2	1592327.0	Actinobacteria bacterium	Bacteria	NA	NA	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01070	40.9	36.1	40.9
A0A0T7MB39	520.0	Bordetella pertussis	Bacteria	NA	37.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01266	17.4	56.5	56.5
Q0K752	381666.0	Cupriavidus necator	Bacteria	6.89	29.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01565,PF02913	16.5	27.3	27.3
S4JZP6	NA	NA	Bacteria	NA	NA	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01266	16.3	97.9	97.9
G2IPH5	627192.0	Sphingobium sp.	Bacteria	7.1	28.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01565,PF02913	17.7	28.6	28.6
Q81GB1	226900.0	Bacillus cereus	Bacteria	7.07	30.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01565,PF02913	17.2	33.6	33.6
B8L0T8	391601.0	Stenotrophomonas sp.	Bacteria	7.15	31.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01565,PF02913	17.1	34.0	34.0
V2IMT0	28901.0	Salmonella enterica	Bacteria	7.12	36.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01266	16.4	98.1	98.1
A0A0W0ZF37	947033.0	Legionella steelei	Bacteria	NA	35.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01070	34.7	39.9	39.9
A0A0H3KC56	395019.0	Burkholderia multivorans	Bacteria	7.0	29.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01565	19.5	19.3	19.5
Q17XF0	382638.0	Helicobacter acinonychis	Bacteria	NA	37.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01565,PF02913	17.4	32.1	32.1
Q1ARC0	266117.0	Rubrobacter xylanophilus	Bacteria	7.2	53.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01070	33.8	32.2	33.8
A2CCU9	59922.0	Prochlorococcus marinus	Bacteria	NA	20.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF02754,PF13183	16.5	17.8	17.8
R7ZZ67	1232681.0	Lunatimonas lonarensis	Bacteria	NA	NA	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01266	17.8	73.3	73.3
F4CRK7	675635.0	Pseudonocardia dioxanivorans	Bacteria	7.2	27.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01070	36.8	34.0	36.8
A0A0H0GTN3	1446578.0	Escherichia coli	Bacteria	7.01	36.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01266	16.9	99.1	99.1
B7QAT8	6945.0	Ixodes scapularis	Eukaryota	NA	NA	1.1.3.15	Yes	Yes	No	NA	first	NA	NA	NA	NA	NA	NA	No	No	PF01070	23.2	18.4	23.2
L9PRB1	1198452.0	Janthinobacterium sp.	Bacteria	NA	NA	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01565	18.1	20.5	20.5
H4K7N9	NA	NA	Bacteria	NA	NA	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01266	17.1	99.8	99.8
V5BD74	1116472.0	Methyloglobulus morosus	Bacteria	NA	NA	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01266	15.5	48.5	48.5
S0VN32	NA	NA	Bacteria	NA	NA	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01266	17.1	99.5	99.5
W6I4G8	364410.0	Granulibacter bethesdensis	Bacteria	NA	36.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01565,PF02913	17.3	27.5	27.5
A0A0H0ETT9	562.0	Escherichia coli	Bacteria	7.01	36.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01266	16.9	98.3	98.3
A0A0B1BKX2	562.0	Escherichia coli	Bacteria	7.01	36.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01266	17.1	99.3	99.3
A0A0U7HWU9	615.0	Serratia marcescens	Bacteria	7.07	29.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01266	16.5	98.2	98.2
A0A0M7QFY7	54571.0	Streptomyces venezuelae	Bacteria	7.2	27.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01070	42.7	40.7	42.7
C2ENE9	525365.0	Lactobacillus ultunensis	Bacteria	6.35	37.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01070	23.2	24.3	24.3
A0A0M7N4Q2	85698.0	Achromobacter xylosoxidans	Bacteria	7.14	31.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01266	18.5	56.2	56.2
A0A0L4GHC1	NA	NA	Bacteria	NA	NA	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01266	17.1	97.9	97.9
A0A0K2XR40	35817.0	Helicobacter heilmannii	Bacteria	NA	37.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No		14.9	8.3	14.9
A0A073G840	1444266.0	Escherichia coli	Bacteria	7.01	36.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01266	16.9	98.8	98.8
A0A029KI23	NA	NA	Bacteria	NA	NA	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01266	17.1	99.5	99.5
A4Z0V5	114615.0	Bradyrhizobium sp.	Bacteria	7.0	27.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01565,PF02913	17.6	26.3	26.3
Q13YT9	266265.0	Paraburkholderia xenovorans	Bacteria	NA	30.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01565,PF02913	16.1	28.8	28.8
N4NTH3	1455601.0	Escherichia coli	Bacteria	7.01	36.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01266	16.9	98.6	98.6
B9ST69	3988.0	Ricinus communis	Eukaryota	NA	NA	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01070	73.4	38.2	73.4
A0A0H6MLS9	666.0	Vibrio cholerae	Bacteria	NA	36.0	1.1.3.15	No	NA	NA	NA	second	NA	NA	NA	NA	NA	NA	No	No	PF01266	17.5	39.1	39.1
A0A0H3EK26	685038.0	Escherichia coli	Bacteria	7.01	36.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01266	16.9	98.8	98.8
A0A0W0Y368	45073.0	Legionella quinlivanii	Bacteria	6.9	37.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01070	42.7	35.8	42.7
D6IC93	550676.0	Escherichia coli	Bacteria	7.01	36.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01266	17.1	99.1	99.1
A6QC61	387093.0	Sulfurovum sp.	Bacteria	NA	NA	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01565,PF02913	16.7	34.3	34.3
A0A024HJZ1	1301098.0	Pseudomonas knackmussii	Bacteria	6.95	30.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01266	17.3	72.0	72.0
A0A095ANQ8	1502850.0	Sphingopyxis sp.	Bacteria	NA	29.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01070	37.2	37.0	37.2
A0A0J6WNW6	37916.0	Mycolicibacterium chlorophenolicum	Bacteria	NA	NA	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01266	18.7	47.1	47.1
Q16CG7	375451.0	Roseobacter denitrificans	Bacteria	7.55	22.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01565	17.7	23.2	23.2
F4FVI9	1581.0	Lactobacillus buchneri	Bacteria	6.35	35.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01070	58.0	48.3	58.0
A0A098G587	1212491.0	Legionella fallonii	Bacteria	6.9	30.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01070	48.4	34.1	48.4
E8SFV8	283734.0	Staphylococcus pseudintermedius	Bacteria	7.1	36.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01565,PF02913	17.2	30.6	30.6
J0AKV7	992038.0	Helicobacter pylori	Bacteria	NA	37.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF02754	14.3	14.3	14.3
A0A0G3XUD0	1414643.0	[flavobacterium] thermophilum	Bacteria	NA	NA	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01266	16.6	56.9	56.9
A0A0D7LP69	546.0	Citrobacter freundii	Bacteria	7.15	35.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01266	16.5	92.2	92.2
