uid	taxid	organism	superkingdom	ph	temperature	pfam	lineage_identifiers	lineage_ranks	lineage_names
Q8J2V8	40145	Tricholoma matsutake	Eukaryota	6.05	23.0	NA	1, 131567, 2759, 33154, 4751, 451864, 5204, 5302, 155619, 452333, 5338, 5351, 40144, 40145	root, no rank, superkingdom, no rank, kingdom, subkingdom, phylum, subphylum, class, subclass, order, family, genus, species	root, cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Basidiomycota, Agaricomycotina, Agaricomycetes, Agaricomycetidae, Agaricales, Tricholomataceae, Tricholoma, Tricholoma matsutake
G7HH71	1055524	Burkholderia cenocepacia	Bacteria	7.0	30.0	NA	1, 131567, 2, 1224, 28216, 80840, 119060, 32008, 87882, 95486, 1055524	root, no rank, superkingdom, phylum, class, order, family, genus, species group, species, no rank	root, cellular organisms, Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Burkholderiaceae, Burkholderia, Burkholderia cepacia complex, Burkholderia cenocepacia, Burkholderia cenocepacia H111
A0A0C4YFD9	68895	Cupriavidus basilensis	Bacteria	7.15	28.0	NA	1, 131567, 2, 1224, 28216, 80840, 119060, 106589, 68895	root, no rank, superkingdom, phylum, class, order, family, genus, species	root, cellular organisms, Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Burkholderiaceae, Cupriavidus, Cupriavidus basilensis
B7QMD1	6945	Ixodes scapularis	Eukaryota	NA	NA	NA	1, 131567, 2759, 33154, 33208, 6072, 33213, 33317, 1206794, 88770, 6656, 6843, 6854, 6933, 6934, 6935, 297308, 6939, 426442, 6944, 6945	root, no rank, superkingdom, no rank, kingdom, no rank, no rank, no rank, no rank, no rank, phylum, subphylum, class, subclass, superorder, order, superfamily, family, subfamily, genus, species	root, cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Panarthropoda, Arthropoda, Chelicerata, Arachnida, Acari, Parasitiformes, Ixodida, Ixodoidea, Ixodidae, Ixodinae, Ixodes, Ixodes scapularis
M5F6A5	1297570	Mesorhizobium sp.	Bacteria	NA	30.0	NA	1, 131567, 2, 1224, 28211, 356, 69277, 68287, 1297570	root, no rank, superkingdom, phylum, class, order, family, genus, species	root, cellular organisms, Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Phyllobacteriaceae, Mesorhizobium, Mesorhizobium sp. STM 4661
Q9AJD6	69367	Microbacterium luteolum	Bacteria	7.3	30.0	NA	1, 131567, 2, 1783272, 201174, 1760, 85006, 85023, 33882, 69367	root, no rank, superkingdom, no rank, phylum, class, order, family, genus, species	root, cellular organisms, Bacteria, Terrabacteria group, Actinobacteria, Actinobacteria, Micrococcales, Microbacteriaceae, Microbacterium, Microbacterium luteolum
A0A0U1CBT0	36809	Mycobacteroides abscessus	Bacteria	NA	NA	NA	1, 131567, 2, 1783272, 201174, 1760, 85007, 1762, 670516, 36809	root, no rank, superkingdom, no rank, phylum, class, order, family, genus, species	root, cellular organisms, Bacteria, Terrabacteria group, Actinobacteria, Actinobacteria, Corynebacteriales, Mycobacteriaceae, Mycobacteroides, Mycobacteroides abscessus
A0A0D6IYV5	1772	Mycolicibacterium smegmatis	Bacteria	NA	NA	NA	1, 131567, 2, 1783272, 201174, 1760, 85007, 1762, 1866885, 1772	root, no rank, superkingdom, no rank, phylum, class, order, family, genus, species	root, cellular organisms, Bacteria, Terrabacteria group, Actinobacteria, Actinobacteria, Corynebacteriales, Mycobacteriaceae, Mycolicibacterium, Mycolicibacterium smegmatis
M4UHN0	1262456	Ralstonia solanacearum	Bacteria	7.0	29.0	NA	1, 131567, 2, 1224, 28216, 80840, 119060, 48736, 305, 1262456	root, no rank, superkingdom, phylum, class, order, family, genus, species, no rank	root, cellular organisms, Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Burkholderiaceae, Ralstonia, Ralstonia solanacearum, Ralstonia solanacearum FQY_4
Q5NT46	381	Mesorhizobium loti	Bacteria	7.0	26.0	NA	1, 131567, 2, 1224, 28211, 356, 69277, 68287, 381	root, no rank, superkingdom, phylum, class, order, family, genus, species	root, cellular organisms, Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Phyllobacteriaceae, Mesorhizobium, Mesorhizobium loti
A2RB46	425011	Aspergillus niger	Eukaryota	5.6	26.0	NA	1, 131567, 2759, 33154, 4751, 451864, 4890, 716545, 147538, 716546, 147545, 451871, 5042, 1131492, 5052, 5061, 425011	root, no rank, superkingdom, no rank, kingdom, subkingdom, phylum, no rank, subphylum, no rank, class, subclass, order, family, genus, species, no rank	root, cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Ascomycota, saccharomyceta, Pezizomycotina, leotiomyceta, Eurotiomycetes, Eurotiomycetidae, Eurotiales, Aspergillaceae, Aspergillus, Aspergillus niger, Aspergillus niger CBS 513.88
A2R501	425011	Aspergillus niger	Eukaryota	5.6	26.0	NA	1, 131567, 2759, 33154, 4751, 451864, 4890, 716545, 147538, 716546, 147545, 451871, 5042, 1131492, 5052, 5061, 425011	root, no rank, superkingdom, no rank, kingdom, subkingdom, phylum, no rank, subphylum, no rank, class, subclass, order, family, genus, species, no rank	root, cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Ascomycota, saccharomyceta, Pezizomycotina, leotiomyceta, Eurotiomycetes, Eurotiomycetidae, Eurotiales, Aspergillaceae, Aspergillus, Aspergillus niger, Aspergillus niger CBS 513.88
Q00922	5477	[candida] boidinii	Eukaryota	NA	NA	NA	1, 131567, 2759, 33154, 4751, 451864, 4890, 716545, 147537, 4891, 4892, 1156497, 461281, 1540042, 5477	root, no rank, superkingdom, no rank, kingdom, subkingdom, phylum, no rank, subphylum, class, order, family, genus, no rank, species	root, cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Ascomycota, saccharomyceta, Saccharomycotina, Saccharomycetes, Saccharomycetales, Pichiaceae, Ogataea, Ogataea/Candida clade, [Candida] boidinii
Q5S057	5477	[candida] boidinii	Eukaryota	NA	NA	NA	1, 131567, 2759, 33154, 4751, 451864, 4890, 716545, 147537, 4891, 4892, 1156497, 461281, 1540042, 5477	root, no rank, superkingdom, no rank, kingdom, subkingdom, phylum, no rank, subphylum, class, order, family, genus, no rank, species	root, cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Ascomycota, saccharomyceta, Saccharomycotina, Saccharomycetes, Saccharomycetales, Pichiaceae, Ogataea, Ogataea/Candida clade, [Candida] boidinii
Q5S058	5477	[candida] boidinii	Eukaryota	NA	NA	NA	1, 131567, 2759, 33154, 4751, 451864, 4890, 716545, 147537, 4891, 4892, 1156497, 461281, 1540042, 5477	root, no rank, superkingdom, no rank, kingdom, subkingdom, phylum, no rank, subphylum, class, order, family, genus, no rank, species	root, cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Ascomycota, saccharomyceta, Saccharomycotina, Saccharomycetes, Saccharomycetales, Pichiaceae, Ogataea, Ogataea/Candida clade, [Candida] boidinii
A5LGE3	53649	Ogataea methylivora	Eukaryota	NA	27.0	PF00732	1, 131567, 2759, 33154, 4751, 451864, 4890, 716545, 147537, 4891, 4892, 1156497, 461281, 53649	root, no rank, superkingdom, no rank, kingdom, subkingdom, phylum, no rank, subphylum, class, order, family, genus, species	root, cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Ascomycota, saccharomyceta, Saccharomycotina, Saccharomycetes, Saccharomycetales, Pichiaceae, Ogataea, Ogataea methylivora
A5LGE4	36026	Ogataea minuta	Eukaryota	NA	25.0	NA	1, 131567, 2759, 33154, 4751, 451864, 4890, 716545, 147537, 4891, 4892, 1156497, 461281, 36026	root, no rank, superkingdom, no rank, kingdom, subkingdom, phylum, no rank, subphylum, class, order, family, genus, species	root, cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Ascomycota, saccharomyceta, Saccharomycotina, Saccharomycetes, Saccharomycetales, Pichiaceae, Ogataea, Ogataea minuta
A5LGE5	50262	[candida] methanosorbosa	Eukaryota	NA	NA	PF00732	1, 131567, 2759, 33154, 4751, 451864, 4890, 716545, 147537, 4891, 4892, 1156497, 461281, 1540042, 50262	root, no rank, superkingdom, no rank, kingdom, subkingdom, phylum, no rank, subphylum, class, order, family, genus, no rank, species	root, cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Ascomycota, saccharomyceta, Saccharomycotina, Saccharomycetes, Saccharomycetales, Pichiaceae, Ogataea, Ogataea/Candida clade, [Candida] methanosorbosa
A5LGE0	51926	[candida] sonorensis	Eukaryota	NA	NA	NA	1, 131567, 2759, 33154, 4751, 451864, 4890, 716545, 147537, 4891, 4892, 1156497, 461281, 1540042, 51926	root, no rank, superkingdom, no rank, kingdom, subkingdom, phylum, no rank, subphylum, class, order, family, genus, no rank, species	root, cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Ascomycota, saccharomyceta, Saccharomycotina, Saccharomycetes, Saccharomycetales, Pichiaceae, Ogataea, Ogataea/Candida clade, [Candida] sonorensis
A5LGD9	51926	[candida] sonorensis	Eukaryota	NA	NA	NA	1, 131567, 2759, 33154, 4751, 451864, 4890, 716545, 147537, 4891, 4892, 1156497, 461281, 1540042, 51926	root, no rank, superkingdom, no rank, kingdom, subkingdom, phylum, no rank, subphylum, class, order, family, genus, no rank, species	root, cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Ascomycota, saccharomyceta, Saccharomycotina, Saccharomycetes, Saccharomycetales, Pichiaceae, Ogataea, Ogataea/Candida clade, [Candida] sonorensis
A5LGE6	51927	[candida] succiphila	Eukaryota	NA	NA	NA	1, 131567, 2759, 33154, 4751, 451864, 4890, 716545, 147537, 4891, 4892, 1156497, 461281, 1540042, 51927	root, no rank, superkingdom, no rank, kingdom, subkingdom, phylum, no rank, subphylum, class, order, family, genus, no rank, species	root, cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Ascomycota, saccharomyceta, Saccharomycotina, Saccharomycetes, Saccharomycetales, Pichiaceae, Ogataea, Ogataea/Candida clade, [Candida] succiphila
A8DPS4	104355	Gloeophyllum trabeum	Eukaryota	5.6	25.0	NA	1, 131567, 2759, 33154, 4751, 451864, 5204, 5302, 155619, 355688, 452339, 452340, 40443, 104355	root, no rank, superkingdom, no rank, kingdom, subkingdom, phylum, subphylum, class, no rank, order, family, genus, species	root, cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Basidiomycota, Agaricomycotina, Agaricomycetes, Agaricomycetes incertae sedis, Gloeophyllales, Gloeophyllaceae, Gloeophyllum, Gloeophyllum trabeum
B7PIZ7	6945	Ixodes scapularis	Eukaryota	NA	NA	NA	1, 131567, 2759, 33154, 33208, 6072, 33213, 33317, 1206794, 88770, 6656, 6843, 6854, 6933, 6934, 6935, 297308, 6939, 426442, 6944, 6945	root, no rank, superkingdom, no rank, kingdom, no rank, no rank, no rank, no rank, no rank, phylum, subphylum, class, subclass, superorder, order, superfamily, family, subfamily, genus, species	root, cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Panarthropoda, Arthropoda, Chelicerata, Arachnida, Acari, Parasitiformes, Ixodida, Ixodoidea, Ixodidae, Ixodinae, Ixodes, Ixodes scapularis
P04842	644223	Komagataella phaffii	Eukaryota	NA	22.0	NA	1, 131567, 2759, 33154, 4751, 451864, 4890, 716545, 147537, 4891, 4892, 115784, 460517, 460519, 644223	root, no rank, superkingdom, no rank, kingdom, subkingdom, phylum, no rank, subphylum, class, order, family, genus, species, no rank	root, cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Ascomycota, saccharomyceta, Saccharomycotina, Saccharomycetes, Saccharomycetales, Phaffomycetaceae, Komagataella, Komagataella phaffii, Komagataella phaffii GS115
C4R702	644223	Komagataella phaffii	Eukaryota	NA	22.0	NA	1, 131567, 2759, 33154, 4751, 451864, 4890, 716545, 147537, 4891, 4892, 115784, 460517, 460519, 644223	root, no rank, superkingdom, no rank, kingdom, subkingdom, phylum, no rank, subphylum, class, order, family, genus, species, no rank	root, cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Ascomycota, saccharomyceta, Saccharomycotina, Saccharomycetes, Saccharomycetales, Phaffomycetaceae, Komagataella, Komagataella phaffii, Komagataella phaffii GS115
F2R038	981350	Komagataella phaffii	Eukaryota	NA	22.0	NA	1, 131567, 2759, 33154, 4751, 451864, 4890, 716545, 147537, 4891, 4892, 115784, 460517, 460519, 981350	root, no rank, superkingdom, no rank, kingdom, subkingdom, phylum, no rank, subphylum, class, order, family, genus, species, no rank	root, cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Ascomycota, saccharomyceta, Saccharomycotina, Saccharomycetes, Saccharomycetales, Phaffomycetaceae, Komagataella, Komagataella phaffii, Komagataella phaffii CBS 7435
F2QY27	981350	Komagataella phaffii	Eukaryota	NA	22.0	NA	1, 131567, 2759, 33154, 4751, 451864, 4890, 716545, 147537, 4891, 4892, 115784, 460517, 460519, 981350	root, no rank, superkingdom, no rank, kingdom, subkingdom, phylum, no rank, subphylum, class, order, family, genus, species, no rank	root, cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Ascomycota, saccharomyceta, Saccharomycotina, Saccharomycetes, Saccharomycetales, Phaffomycetaceae, Komagataella, Komagataella phaffii, Komagataella phaffii CBS 7435
A5LGE7	317047	Kuraishia capsulata	Eukaryota	NA	24.0	PF00732	1, 131567, 2759, 33154, 4751, 451864, 4890, 716545, 147537, 4891, 4892, 241407, 317045, 317047	root, no rank, superkingdom, no rank, kingdom, subkingdom, phylum, no rank, subphylum, class, order, no rank, genus, species	root, cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Ascomycota, saccharomyceta, Saccharomycotina, Saccharomycetes, Saccharomycetales, Saccharomycetales incertae sedis, Kuraishia, Kuraishia capsulata
I7CMK2	153609	Moniliophthora perniciosa	Eukaryota	5.6	25.0	NA	1, 131567, 2759, 33154, 4751, 451864, 5204, 5302, 155619, 452333, 5338, 654128, 221102, 153609	root, no rank, superkingdom, no rank, kingdom, subkingdom, phylum, subphylum, class, subclass, order, family, genus, species	root, cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Basidiomycota, Agaricomycotina, Agaricomycetes, Agaricomycetidae, Agaricales, Marasmiaceae, Moniliophthora, Moniliophthora perniciosa
Q7WZ62	93944	Nonomuraea gerenzanensis	Bacteria	NA	NA	NA	1, 131567, 2, 1783272, 201174, 1760, 85012, 2004, 83681, 93944	root, no rank, superkingdom, no rank, phylum, class, order, family, genus, species	root, cellular organisms, Bacteria, Terrabacteria group, Actinobacteria, Actinobacteria, Streptosporangiales, Streptosporangiaceae, Nonomuraea, Nonomuraea gerenzanensis
Q7WZ62	93944	Nonomuraea gerenzanensis	Bacteria	NA	NA	NA	1, 131567, 2, 1783272, 201174, 1760, 85012, 2004, 83681, 93944	root, no rank, superkingdom, no rank, phylum, class, order, family, genus, species	root, cellular organisms, Bacteria, Terrabacteria group, Actinobacteria, Actinobacteria, Streptosporangiales, Streptosporangiaceae, Nonomuraea, Nonomuraea gerenzanensis
A5LGE9	36023	Ogataea glucozyma	Eukaryota	NA	25.0	NA	1, 131567, 2759, 33154, 4751, 451864, 4890, 716545, 147537, 4891, 4892, 1156497, 461281, 36023	root, no rank, superkingdom, no rank, kingdom, subkingdom, phylum, no rank, subphylum, class, order, family, genus, species	root, cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Ascomycota, saccharomyceta, Saccharomycotina, Saccharomycetes, Saccharomycetales, Pichiaceae, Ogataea, Ogataea glucozyma
A5LGF0	36024	Ogataea henricii	Eukaryota	6.5	25.0	NA	1, 131567, 2759, 33154, 4751, 451864, 4890, 716545, 147537, 4891, 4892, 1156497, 461281, 36024	root, no rank, superkingdom, no rank, kingdom, subkingdom, phylum, no rank, subphylum, class, order, family, genus, species	root, cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Ascomycota, saccharomyceta, Saccharomycotina, Saccharomycetes, Saccharomycetales, Pichiaceae, Ogataea, Ogataea henricii
Q9UVU1	1156966	Ogataea methanolica	Eukaryota	NA	24.0	NA	1, 131567, 2759, 33154, 4751, 451864, 4890, 716545, 147537, 4891, 4892, 1156497, 461281, 1156966	root, no rank, superkingdom, no rank, kingdom, subkingdom, phylum, no rank, subphylum, class, order, family, genus, species	root, cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Ascomycota, saccharomyceta, Saccharomycotina, Saccharomycetes, Saccharomycetales, Pichiaceae, Ogataea, Ogataea methanolica
Q9UVU2	1156966	Ogataea methanolica	Eukaryota	NA	24.0	NA	1, 131567, 2759, 33154, 4751, 451864, 4890, 716545, 147537, 4891, 4892, 1156497, 461281, 1156966	root, no rank, superkingdom, no rank, kingdom, subkingdom, phylum, no rank, subphylum, class, order, family, genus, species	root, cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Ascomycota, saccharomyceta, Saccharomycotina, Saccharomycetes, Saccharomycetales, Pichiaceae, Ogataea, Ogataea methanolica
A5LGF1	36026	Ogataea minuta	Eukaryota	NA	25.0	PF00732	1, 131567, 2759, 33154, 4751, 451864, 4890, 716545, 147537, 4891, 4892, 1156497, 461281, 36026	root, no rank, superkingdom, no rank, kingdom, subkingdom, phylum, no rank, subphylum, class, order, family, genus, species	root, cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Ascomycota, saccharomyceta, Saccharomycotina, Saccharomycetes, Saccharomycetales, Pichiaceae, Ogataea, Ogataea minuta
A5LGF2	50265	Ogataea naganishii	Eukaryota	NA	24.0	PF00732	1, 131567, 2759, 33154, 4751, 451864, 4890, 716545, 147537, 4891, 4892, 1156497, 461281, 50265	root, no rank, superkingdom, no rank, kingdom, subkingdom, phylum, no rank, subphylum, class, order, family, genus, species	root, cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Ascomycota, saccharomyceta, Saccharomycotina, Saccharomycetes, Saccharomycetales, Pichiaceae, Ogataea, Ogataea naganishii
